actual_price,model_price
500,-3674.69
6994,7627.11
2475,4230.51
16419,16811.9
4999,5306.43
28290,22482
3490,2215.75
1995,2648.53
4550,7212.69
7500,9884.12
995,-2046.18
2495,3188.66
2650,4955.21
4495,4063.13
4200,625.244
1999,4133.89
1495,3112.17
1100,478.567
22995,19208.5
2499,3190.04
1200,476.671
5700,8092.12
8290,8834.31
4296,5028.76
11350,11707.5
890,2691.54
1990,4807.24
1500,692.14
10585,11733.1
9799,9944.21
16000,17375
4000,6520.75
2650,2683.65
10248,11329
395,-1728.21
699,-4946.17
2695,3680.64
4691,6402.63
5995,6092.02
19991,16382.6
3500,6736.28
6996,8328.9
3490,2835.66
3400,6449.26
7285,7139.95
11995,11658.8
1999,1940.41
7295,6532.28
9399,8816.49
795,62.9761
14790,13340.4
1990,1868.39
2495,3581.21
2690,3932.5
450,-1200.1
3390,3151.1
12300,12388.9
2795,2524.54
11480,12089.9
650,366.286
18990,18426.5
15993,12531.3
11690,11806.8
6995,7843.48
6495,6755.12
31990,18524.6
1995,1349.91
6490,7448.15
990,4436.69
1250,-1027.21
1790,1102.83
4799,4380.34
6679,5939.11
15495,18700.9
3295,3978.99
1595,1715.51
9290,9118.18
15300,17252.6
5990,5896.81
15250,13800.2
9875,6963.39
4850,5059.87
4280,5711.25
2500,2542.78
1795,2183.38
950,-2377.89
8581,7709.87
675,-1611.79
11990,10653.1
8000,7582.74
3250,3641.87
3300,3607.57
26490,24870
795,-33.7039
6250,8619.83
5980,7987.36
800,-1271.63
3700,4017.79
5400,4936.19
3990,6280.55
990,1235.11
10000,10105.5
1795,2205.37
5999,7653.45
1850,1518.59
4895,6502.16
1795,2095.76
1795,2468.28
27990,25498
2290,2065.09
5695,5820.57
8290,7717.66
15300,17070.8
1495,1157.84
6595,8467.24
1490,-483.321
7490,8947.47
11485,10769.4
2500,3182.22
10480,10256.9
2995,683.317
17500,18575.3
5495,6422.3
1500,1052.47
2950,3059.72
9000,9372.47
15500,17454.3
975,-1521.73
3990,6276.79
3550,6788.28
9290,8134.36
1700,4151.5
15499,16897.3
1990,1798.46
2999,3632.6
1490,1275.08
11695,15013.5
18990,20367.7
11599,16162.7
5995,5313.27
3990,2419.29
9500,10165.3
14489,12989.3
17470,20191.4
3600,3993.97
